user_id,username
1,_Adam_
2,_dirty_
3,1971bernat
4,1noa
5,2beerdogs
6,510a
7,a77cj7
8,AApparel
9,AaronBurr
10,aasher
11,abcdefghijkyle
12,abkaroll
13,ablackard
14,Acforster2
15,acurtis
16,adacovsk
17,Adamostella
18,adipilla8708
19,adkieffer
20,AdmiralOzone
21,afdempse
22,afsdan
23,AgentMunky
24,ahubal
25,Aisha
26,ajm5108
27,ajs4bd
28,akorsak
29,AlaskanYoung
30,Aleforme
31,alexgash
32,alli4051
33,allrecreational
34,almychristopher
35,alpenglocken
36,AltBock
37,Amalak
38,amalburg
39,AMCimpi
40,AmitC
41,andrenaline
42,andrewborstein
43,appenzeller
44,aracauna
45,argock
46,arizcards
47,arr3388
48,ArrogantB
49,arusso13
50,asabreed
51,Aschap
52,Asics
53,Asics
54,atomicnemesis
55,ATPete
56,atr2605
57,aussiebeer
58,avaldivia
59,Bad_Attitude_Brews
60,badmotorgrunge
61,baklo
62,Bammer21
63,Bammer21
64,BARFLYB
65,barnzy78
66,bcm119
67,bcm75
68,BDeibs
69,Bdel34
70,BDJake
71,BdM
72,beagle75
73,Beaver13
74,beer2day
75,Beer4Baltimore
76,Beerandraiderfan
77,beerceller99
78,BeerCentralWA
79,BeerDrinkingRhino
80,Beer-Ed
81,BeerFMAndy
82,BeerForHokie
83,beerguy101
84,BeerLover99
85,BeerManDan
86,BeerNDoggerel
87,beernut7
88,BeerResearcher
89,beerrooster
90,beersdmf17
91,beertaster13
92,beertunes
93,beertunes
94,Beervana
95,Benish
96,BerkeleyBeerMan
97,bhatch729
98,bibo_ergo_sum
99,biboergosum
100,biegaman
101,bifrost17
102,bigdeuce
103,bigfnjoe
104,BigMike
105,BigMike
106,bigred89
107,BirdFlu
108,Birdiebeagle
109,Birmz
110,bitterthebetter
111,bjames08
112,blackc5
113,blackduckny
114,blake58
115,Blaze5445
116,blklab2007
117,blue-dream
118,bluejacket74
119,BlueSpader
120,bluntedboywonder
121,BMart
122,BMMillsy
123,Bnoise11
124,Boilermaker88
125,bonz696
126,Boto
127,Bouleboubier
128,bourbonbock
129,Boz12
130,Braden
131,bradleyp
132,brakspear
133,Braz
134,Brewski
135,Brian1357
136,Brian700
